Type	Equation	Hints	Solution
1	7x + 9y = 109	4,6,109,1,10,7,9,10	x = 4,y = 9
1	2x + 5y = 22	8,22,5,10,2,5,6,2	x = 6,y = 2
1	6x + 5y = 58	6,3,6,58,5,5,4,10	x = 3,y = 8
1	9x + 4y = 46	6,10,4,9,1,7,7,46	x = 2,y = 7
1	2x + 9y = 38	2,9,2,9,2,38,3,3	x = 1,y = 4
1	5x + 10y = 25	5,3,5,10,7,9,3,25	x = 1,y = 2
1	6x + 10y = 130	1,10,6,8,130,1,2,4	x = 10,y = 7
1	5x + 5y = 40	5,10,5,7,40,5,3,2	x = 4,y = 4
1	5x + 4y = 48	9,48,5,4,5,10,10,5	x = 4,y = 7
1	8x + 1y = 56	56,8,10,9,1,2,1,3	x = 6,y = 8
2	9x^2 - 135x + 450 = 0	450,5,9,7,10,9,10,-135	5,10
2	6x^2 - 90x + 336 = 0	7,5,-90,6,9,8,336,4	7,8
2	2x^2 - 36x + 160 = 0	8,9,3,3,10,-36,2,160	8,10
2	3x^2 - 18x + 27 = 0	7,3,27,-18,2,10,1,5	3,3
2	3x^2 - 21x + 36 = 0	1,36,7,4,8,3,-21,3	3,4
2	4x^2 - 52x + 120 = 0	8,9,120,5,10,-52,5,4	10,3
2	2x^2 - 24x + 70 = 0	2,10,-24,8,70,1,4,4	5,7
2	3x^2 - 18x + 24 = 0	10,7,9,3,9,-18,24,10	2,4
2	4x^2 - 40x + 64 = 0	10,1,4,3,-40,5,64,9	8,2
2	9x^2 - 135x + 486 = 0	5,2,8,9,2,-135,10,486	9,6
3	5x^3 - 50x^2 + 155x - 150 = 0	6,-50,2,5,8,155,9,4,-150	5,2,3
3	1x^3 - 8x^2 + 19x - 12 = 0	-8,-12,3,19,7,9,4,2,1	4,3,1
3	9x^3 - 81x^2 + 216x - 144 = 0	216,3,-144,4,2,-81,7,9,2	1,4,4
3	7x^3 - 70x^2 + 217x - 210 = 0	7,-70,8,5,5,-210,6,217,6	5,3,2
3	9x^3 - 63x^2 + 126x - 72 = 0	6,9,5,-72,-63,1,7,9,126	2,4,1
3	5x^3 - 50x^2 + 160x - 160 = 0	160,1,5,3,7,-160,7,-50,9	4,2,4
3	3x^3 - 24x^2 + 51x - 30 = 0	6,9,3,-30,-24,51,10,7,3	1,5,2
3	9x^3 - 72x^2 + 153x - 90 = 0	-90,2,5,4,5,3,-72,9,153	5,1,2
3	9x^3 - 45x^2 + 63x - 27 = 0	9,-27,10,-45,4,63,7,4,1	1,3,1
3	1x^3 - 10x^2 + 29x - 20 = 0	-10,1,-20,9,9,5,2,2,29	4,5,1
